field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
903,750471.824,6297496.013,24.939,7,10,16138,16471.5,10,13664.5,13586,10,52.9,61.5,10,18208,17740.5,10,8009.3,8011.5
904,750473.808,6297500.01,24.916,7,9,26341.8888888889,26627,9,19985.8888888889,20456,9,50.8888888888889,56,9,31100.1111111111,31286,9,9573.44444444445,9409
905,750475.904,6297503.834,24.928,7,9,19371.1111111111,19667,9,14624.4444444444,14811,9,41.5555555555556,25,9,21354.7777777778,22036,9,7794.55555555556,7817
906,750478.324,6297508.599,24.911,6.5,9,15876.6666666667,16023,9,13831.6666666667,13931,9,68.2222222222222,63,9,18579.4444444444,18017,9,8218,8053
907,750481.579,6297515.298,24.96,7,9,17109,17382,9,14203.3333333333,14199,9,63.8888888888889,77,9,20167.2222222222,19140,9,8100.66666666667,8008
908,750484.621,6297522.481,24.93,8.5,9,18254.3333333333,18339,9,17312,16362,9,62.8888888888889,63,9,22603.4444444444,21905,9,10015.1111111111,10121
909,750491.163,6297531.815,24.914,10,10,11269.8,11566.5,10,13432.1,13605.5,10,60.8,58,10,14175.7,14274,10,8471.1,8503
910,750493.054,6297536.253,24.894,10,10,14500.8,14397,10,16871.6,17099.5,10,66.5,64,10,18911.9,18045.5,10,10013.8,9905.5
911,750495.114,6297540.532,24.895,11,10,11242.5,11468,10,11519.2,11881,10,43.4,37.5,10,13333.3,13658.5,10,7744.2,7896.5
912,750498.106,6297546.83,24.911,10,8,10009.875,10012,8,13100.375,13586,8,80.375,79.5,8,14471.5,14807,8,10490.25,10511
913,750500.894,6297553.427,24.935,9,9,6897.11111111111,6904,9,9730.22222222222,9750,9,63.3333333333333,64,9,9304.33333333333,9373,9,10194.1111111111,10191
914,750502.616,6297555.95,24.885,8,9,9885.33333333333,9791,9,12887.6666666667,12824,9,75.7777777777778,80,9,14163.3333333333,14875,9,9956.22222222222,10064
915,750496.963,6297559.084,24.938,7,11,15245.6363636364,14499,11,15532.2727272727,16024,11,83.4545454545455,83,11,17262.3636363636,16522,11,9144.27272727273,9504
916,750490.915,6297561.328,24.902,8,9,16249.1111111111,16530,9,16113.3333333333,15900,9,49.8888888888889,47,9,21417.3333333333,21628,9,9930.66666666667,9565
917,750487.83,6297562.884,24.924,8,9,15964.4444444444,16100,9,13936.7777777778,13746,9,36.4444444444444,32,9,18938.2222222222,18712,9,9507.55555555555,8925
918,750484.059,6297563.924,24.926,7,9,19629.2222222222,19981,9,15416.6666666667,15949,9,44.5555555555556,62,9,18583.3333333333,17644,9,9738.66666666667,9579
919,750479.026,6297561.962,24.93,6,9,18342.8888888889,18701,9,18214.7777777778,18386,9,62.5555555555556,63,9,23093.1111111111,22522,9,13290.6666666667,13057
920,750474.29,6297559.051,24.939,3.5,11,21763.6363636364,21278,11,19398.8181818182,19058,11,70.4545454545455,74,11,25146,24075,11,13491,13879
921,750472.197,6297556.648,24.971,0,12,23409.3333333333,23501,12,21095.9166666667,20791,12,71.5,66,12,28866.6666666667,28456,12,14476.6666666667,13916.5
922,750471.002,6297556.328,24.923,3.5,8,12629.25,12501.5,8,12876.5,12907,8,55.875,50.5,8,14579,14569.5,8,9505.125,9351
923,750464.654,6297557.096,24.944,7,9,16058.8888888889,15951,9,15208.1111111111,15274,9,60.7777777777778,42,9,18863,18305,9,11233.4444444444,10982
924,750458.661,6297557.962,24.95,8,9,20333.1111111111,19582,9,18927.1111111111,17855,9,44.3333333333333,45,9,24478.6666666667,24022,9,12837.3333333333,11522
925,750448.196,6297559.062,24.966,10,9,22751.1111111111,23886,9,21594.2222222222,21573,9,53.5555555555556,47,9,28257,29885,9,14726,15112
926,750440.921,6297559.933,24.977,5,9,18971.3333333333,20219,9,16236.3333333333,16673,9,35.1111111111111,37,9,22206.2222222222,23640,9,10763.5555555556,10890
927,750433.641,6297559.309,24.971,6,8,21805,22541.5,8,19443.875,18761,8,60,64.5,8,25085.875,25311,8,12806.25,12701.5
928,750426.741,6297560.208,24.984,5,10,19680.8,19671.5,10,16195.1,15986.5,10,55.6,48.5,10,22452.9,22308,10,11350.2,11220.5
929,750425.093,6297560.822,24.99,4,9,8331.88888888889,8249,9,9724,9420,9,60.8888888888889,63,9,10127,9468,9,12344.1111111111,12105
930,750418.998,6297561.615,25,5,9,20543.6666666667,18811,9,19447.3333333333,18290,9,81.1111111111111,82,9,24139,22165,9,15319.3333333333,15591
931,750407.976,6297562.382,24.998,5,9,16638.5555555556,16551,9,15024,14468,9,57.1111111111111,47,9,19357.7777777778,19192,9,11127.1111111111,11257
932,750399.722,6297562.024,25.002,2,9,13554.3333333333,13382,9,14014.5555555556,14206,9,60.5555555555556,60,9,16253.5555555556,15576,9,11569.8888888889,11626
933,750398.003,6297561.941,25.03,2,10,17660,17986,10,15050.2,14842.5,10,62.8,61,10,20097.1,20519,10,10998.5,11055
934,750395.973,6297562.135,24.995,3,10,17260,17611,10,14976,15351.5,10,63.7,64,10,19507.2,20015.5,10,10739.6,10892.5
935,750391.683,6297562.402,24.997,5,9,20516.2222222222,20883,9,19270.5555555556,18990,9,105.444444444444,116,9,24553.7777777778,22338,9,14063.8888888889,12848
936,750387.705,6297560.793,25.037,1,9,17569.7777777778,18079,9,19932.3333333333,20706,9,68.5555555555556,73,9,22407.5555555556,23997,9,13811.8888888889,13393
937,750389.343,6297559.865,25.021,0,10,19152.6,18464.5,10,18209.2,17593,10,81.9,72.5,10,23664.2,23060.5,10,14040.5,14029
938,750390.506,6297558.941,25.057,0,10,19173.3,19214,10,17262.7,17974.5,10,80.8,78,10,22839.1,23530.5,10,11561.6,11831.5
939,750386.957,6297559.759,25.013,0,9,16552.3333333333,16555,9,15465,15398,9,59.1111111111111,52,9,19497.5555555556,19346,9,11417.6666666667,11264
940,750386.045,6297560.417,25.018,1,10,20231.3,20541.5,10,20703.6,21536.5,10,110.3,111,10,25744,26458.5,10,14555.9,14960.5
941,750384.873,6297560.46,24.994,1,9,20452,20406,9,21499.1111111111,22187,9,90.2222222222222,97,9,27164.6666666667,27401,9,15346.4444444444,15320
942,750381.24,6297561.482,24.95,5,12,17864.5833333333,18326,12,16090.5833333333,16050.5,12,74.6666666666667,82.5,12,20718.9166666667,22417.5,12,12097,12242
943,750376.215,6297553.185,25.019,5,9,16080.5555555556,16078,9,13388.1111111111,13321,9,37,43,9,17280.6666666667,17483,9,9450,9312
944,750367.495,6297554.451,25.016,4,10,17190.1,17096,10,13415.9,12925.5,10,24.8,21,10,17753.3,17392,10,9133.3,8856.5
945,750361.705,6297554.994,25.028,3,9,23805,24045,9,23464.2222222222,24419,9,76.3333333333333,49,9,29787.7777777778,30567,9,16498.7777777778,16857
946,750355.127,6297555.628,25.007,4.5,10,12483.4,12352.5,10,11103.5,10904.5,10,29.9,30,10,14147.9,13881.5,10,8856.8,8847
947,750355.137,6297555.644,25.004,4.5,9,12756.6666666667,12363,9,11436,11015,9,37,39,9,14534.3333333333,14301,9,8803.11111111111,8576
948,750351.234,6297556.725,25.023,3,10,17215.2,17499,10,13566.6,13241,10,44.6,45.5,10,18973.2,19342,10,9534.5,9446.5
949,750350.648,6297558.452,25.013,0,9,14834.3333333333,14564,9,15535.4444444444,14800,9,66.1111111111111,57,9,19227.8888888889,19122,9,11842.7777777778,11516
950,750349.049,6297558.504,25.01,0,10,24914.4,24976.5,10,19043.5,19072.5,10,45.6,47.5,10,29351.2,29405.5,10,12609,12447
951,750347.663,6297558.831,25.034,0,9,24226.2222222222,24362,9,18614.8888888889,18274,9,51.7777777777778,53,9,28030.4444444444,27817,9,12483.6666666667,12381
952,750347.408,6297559.807,25.014,0,10,15469.5,15528,10,16028.8,15705,10,62.7,67.5,10,19713.6,19232,10,13350.9,12797.5
953,750345.494,6297558.983,25.032,0,8,17294.875,16709.5,8,13505.875,12787,8,54,44,8,18269.875,17565,8,9684.5,8872
954,750344.425,6297559.866,24.992,0,10,22556.8,22422,10,18469,18583,10,72.6,60,10,26784.8,26810,10,12728,12789.5
955,750343.036,6297560.543,25.032,0,9,25701.3333333333,26076,9,19972.2222222222,19812,9,45.1111111111111,41,9,30098,30191,9,12739,12618
956,750342.812,6297559.423,25.024,1,10,17136.2,17373.5,10,13460.5,13381,10,34.2,35,10,19008.5,19358.5,10,9462.3,9353.5
957,750341.947,6297560.933,25.008,0,10,21116,21850.5,10,18871.2,19444,10,61.1,56,10,25674.9,25675.5,10,13130.6,13628
958,750342.5,6297562.366,25.046,0,9,22361.2222222222,22320,9,18348.6666666667,18275,9,47.7777777777778,45,9,26675.7777777778,26711,9,11966.8888888889,12010
959,750342.013,6297564.056,25.024,0,10,10893.3,10517.5,10,8318.1,7975,10,30.6,19.5,10,10767.5,10113.5,10,7323.8,7197.5
960,750342.691,6297565.714,25.001,0,12,20392.25,19983.5,12,14788.4166666667,14434,12,44.0833333333333,36.5,12,20711.3333333333,19883,12,10302.6666666667,10586.5
961,750341.355,6297566.623,25.01,0,10,22638.9,22896,10,19781.7,20230.5,10,40.2,35,10,26010.6,26152.5,10,11905.2,11979.5
962,750340.186,6297567.531,25.036,0,10,10293.4,9957.5,10,8420.5,8350.5,10,45.4,38,10,10436.1,9963,10,8068.2,8157
963,750339.593,6297568.485,25.03,1,10,12385.8,12220.5,10,11142.6,11189.5,10,76.7,73.5,10,13295.6,13441.5,10,9165.7,9119.5
964,750337.931,6297569.391,25.021,1,9,18689.7777777778,19592,9,19963.2222222222,19512,9,54.7777777777778,55,9,23657.4444444444,23664,9,13959.8888888889,13869
965,750336.722,6297568.406,25.016,0,12,18713.5,17649,12,16467,15371,12,66.3333333333333,61,12,22661.1666666667,20457,12,12872.25,12243
